ticker,year,annual_return_pct,lagged_return,degree,weighted_degree,betweenness,closeness,eigenvector,pagerank,ministry_Agriculture,ministry_Commerce,ministry_Digital Economy,ministry_Energy,ministry_Finance,ministry_Industry,ministry_Interior,ministry_Public Health,ministry_Tourism & Sports,ministry_Transport
DELTA,2023,-1.8025823507808347,140.18898505733551,0.01694915254237288,0.017,0.0,0.022598870056497175,2.7123920094749595e-180,0.007087570667165616,False,False,False,False,False,True,False,False,False,False
DELTA,2024,94.9313623624758,-1.8025823507808347,0.01694915254237288,0.017,0.0,0.022598870056497175,2.7123920094749595e-180,0.007087570667165616,False,False,False,False,False,True,False,False,False,False
DELTA,2025,38.07144330967098,94.9313623624758,0.01694915254237288,0.017,0.0,0.022598870056497175,2.7123920094749595e-180,0.007087570667165616,False,False,False,False,False,True,False,False,False,False
DELTA,2026,46.67230056362841,38.07144330967098,0.01694915254237288,0.017,0.0,0.022598870056497175,2.7123920094749595e-180,0.007087570667165616,False,False,False,False,False,True,False,False,False,False
EGCO,2017,10.28588667459318,23.85263413140117,0.01694915254237288,0.497,0.0,0.10611643330876935,0.2679153524566774,0.013965429850230584,False,False,False,True,False,False,False,False,False,False
EGCO,2018,18.533775278946287,10.28588667459318,0.01694915254237288,0.497,0.0,0.10611643330876935,0.2679153524566774,0.013965429850230584,False,False,False,True,False,False,False,False,False,False
EGCO,2019,28.019153455219524,18.533775278946287,0.01694915254237288,0.497,0.0,0.10611643330876935,0.2679153524566774,0.013965429850230584,False,False,False,True,False,False,False,False,False,False
EGCO,2020,-35.050910252212745,28.019153455219524,0.01694915254237288,0.497,0.0,0.10611643330876935,0.2679153524566774,0.013965429850230584,False,False,False,True,False,False,False,False,False,False
EGCO,2021,2.091586572938664,-35.050910252212745,0.01694915254237288,0.497,0.0,0.10611643330876935,0.2679153524566774,0.013965429850230584,False,False,False,True,False,False,False,False,False,False
EGCO,2022,5.299408095331715,2.091586572938664,0.01694915254237288,0.497,0.0,0.10611643330876935,0.2679153524566774,0.013965429850230584,False,False,False,True,False,False,False,False,False,False
EGCO,2023,-23.02068745448049,5.299408095331715,0.01694915254237288,0.497,0.0,0.10611643330876935,0.2679153524566774,0.013965429850230584,False,False,False,True,False,False,False,False,False,False
EGCO,2024,-6.108675213729631,-23.02068745448049,0.01694915254237288,0.497,0.0,0.10611643330876935,0.2679153524566774,0.013965429850230584,False,False,False,True,False,False,False,False,False,False
EGCO,2025,8.751607238030035,-6.108675213729631,0.01694915254237288,0.497,0.0,0.10611643330876935,0.2679153524566774,0.013965429850230584,False,False,False,True,False,False,False,False,False,False
EGCO,2026,15.184316299018665,8.751607238030035,0.01694915254237288,0.497,0.0,0.10611643330876935,0.2679153524566774,0.013965429850230584,False,False,False,True,False,False,False,False,False,False
GPSC,2017,107.9282810810716,70.44214022517752,0.01694915254237288,0.1,0.0,0.10611643330876935,0.05390650954862726,0.004895566418163454,False,False,False,True,False,False,False,False,False,False
GPSC,2018,-28.54015877539865,107.9282810810716,0.01694915254237288,0.1,0.0,0.10611643330876935,0.05390650954862726,0.004895566418163454,False,False,False,True,False,False,False,False,False,False
GPSC,2019,56.41465006649671,-28.54015877539865,0.01694915254237288,0.1,0.0,0.10611643330876935,0.05390650954862726,0.004895566418163454,False,False,False,True,False,False,False,False,False,False
GPSC,2020,-10.516780584571071,56.41465006649671,0.01694915254237288,0.1,0.0,0.10611643330876935,0.05390650954862726,0.004895566418163454,False,False,False,True,False,False,False,False,False,False
GPSC,2021,15.649700184272495,-10.516780584571071,0.01694915254237288,0.1,0.0,0.10611643330876935,0.05390650954862726,0.004895566418163454,False,False,False,True,False,False,False,False,False,False
GPSC,2022,-5.173986206618652,15.649700184272495,0.01694915254237288,0.1,0.0,0.10611643330876935,0.05390650954862726,0.004895566418163454,False,False,False,True,False,False,False,False,False,False
GPSC,2023,-28.7415302726153,-5.173986206618652,0.01694915254237288,0.1,0.0,0.10611643330876935,0.05390650954862726,0.004895566418163454,False,False,False,True,False,False,False,False,False,False
GPSC,2024,-20.898207495493736,-28.7415302726153,0.01694915254237288,0.1,0.0,0.10611643330876935,0.05390650954862726,0.004895566418163454,False,False,False,True,False,False,False,False,False,False
GPSC,2025,20.42796794765056,-20.898207495493736,0.01694915254237288,0.1,0.0,0.10611643330876935,0.05390650954862726,0.004895566418163454,False,False,False,True,False,False,False,False,False,False
GPSC,2026,56.870041006025616,20.42796794765056,0.01694915254237288,0.1,0.0,0.10611643330876935,0.05390650954862726,0.004895566418163454,False,False,False,True,False,False,False,False,False,False
GULF,2026,52.372278880385736,-14.79591308578586,0.01694915254237288,0.0,0.0,0.10611643330876935,9.140205457192642e-195,0.0026109660574412537,False,False,False,True,False,False,False,False,False,False
HMPRO,2017,32.33445943251907,54.76471270712064,0.01694915254237288,0.583,0.0,0.05546995377503852,1.0647770840033482e-22,0.012717353626534048,False,True,False,False,False,False,False,False,False,False
HMPRO,2018,9.53424969089074,32.33445943251907,0.01694915254237288,0.583,0.0,0.05546995377503852,1.0647770840033482e-22,0.012717353626534048,False,True,False,False,False,False,False,False,False,False
HMPRO,2019,4.863233325734861,9.53424969089074,0.01694915254237288,0.583,0.0,0.05546995377503852,1.0647770840033482e-22,0.012717353626534048,False,True,False,False,False,False,False,False,False,False
